,ContextID,Context,Target,InformativenessScore,Guess1,Guess2
13,214921,Few people missed the undertone of sarcasm in the HRD minister's congratulatory message to Mr Advani on his _________ discharge from the Ayodhya case. Since then Mr Joshi's followers have often suggested there was more to the court case than met the eye. Poor Atalji. He would probably wish he were back in New York confronting Pervez & Co.,fortuitous,0.096003629,dishonorable,recent
14,2601426,"... Docents in vintage evening dress portray newspaper magnate William Randolph Hearst's guests during the estate's 1930s _________, lounging by the Neptune Pool or playing cards in the Assembly Room. The tour takes in Casa Grande, covers daytime tour highlights, and ends at the blue and gold Venetian glass tiles of the indoor Roman Pool.",heyday,0.040095054,parties,parties
15,1057844,"This doesn't mean we should _________ bottled-water drinkers (""the new smokers,"" as British writer Giles Coren calls them). After all, drinking bottled water is healthier than consuming soft drinks, coffee or other beverages. It's also better for the environment than those other beverages, since bottled water takes fewer resources to produce. ...",vilify,0.484085351,condemn,ridicule
16,3008549,"... She is also a friend of the bride. The honorary junior bridesmaid was Miss Abigail Regan Taylor of Cary. She is the daughter of the _________ of honor and a friend of the bride. The best man was Mr. Joseph Scott Smithwick of Burlington, Vermont, brother of the groom. Additional groomsmen were Mr. ...",matron,0.479047179,maid,maid
17,798550,"Practically it is impossible to employ the flying machine, whether it be a dirigible or an aeroplane, in this field. Many factors _________ against such an application. In the first place there is a very wide difference between dry land and a stretch of water as an area over which to manoeuvre. ...",militate,0.275859684,prevent,fight
18,3890517,"It is not a _________ book. On the contrary, its style is restrained and factual. The authors take great care not to utter a single negative comment on the legitimacy of the Lobby, and indeed bend over backwards to stress their support for the existence and security of Israel. They let the facts speak for themselves. ...",bellicose,0.178897619,fantastical,resentful
19,2376155,"An _________ way to attach equipment, such as valves, transmitters, hoses etc, equipped with TC ferrule, flush to a tank. Kest-Lock makes is possible to connect and disconnect without the use of any tools. Snap on your TC connectable equipment directly into the Kest-Lock and tighten without tools in a safe _________ connection.",aseptic,0.084585994,easy,easy
20,3825683,"... At the councilÃ¢Â€Â™s final meeting of 2010, Marilyn Sharette submitted a petition signed by 385 people who want a charter revision commission formed to look change the way the budget is approved. She suggested the budget stay at the same level if it isnÃ¢Â€Â™t passed after three referendums. The petition is not valid because it doesnÃ¢Â€Â™t _________ to state statutes.",conform,0.663861156,apply,conform
21,3662954,"... But is unethical, and unwise in the extreme, to _________ those whose very bodies were put in the way of mortal danger to preserve us, no matter what real patriotism on their part, or ruse on the part of a skillfully manipulative former government was used to get them there. ...",castigate,0.595947742,denigrate,condemn
22,1986754,"With a movie star mug, an acoustic guitar and a _________ cry in his voice, Simonis does a solid job of following the tradition of the singing cowboy. Daniel Simonis' self titled album is a charming trip to a simpler time and manages to make the territory of heartbreak appealing""",plaintive,0.283394516,twangy,dramatic
23,3427571,"is the fourth and most reserved, or certainly least rambunctious, collection of essays and reviews by our best -- our most _________ and wittiest -- art critic. It brings together a selection of the writing Peter Schjeldahl has done since 1998, when, at fifty-six and with decades of work for numerous publications behind him, he became the art critic of The",perspicacious,0.367505848,intelligent,renowned
24,3257546,"Made of lead-free glass, this classic _________ holds one 750-milliliter bottle of wine. While the most common use of a _________ is to prevent sediment in an aged red wine from spoiling the wine's clarity and brilliance, some authorities also recommend decanting young red wines to give them the opportunity to bloom. ...",decanter,1,decanter,decanter
25,1996118,"... It is described in apocalyptic terms as 'open'-or good and moral, or 'toll-gated'-with the life-blood of the system ebbing away. The real world is more complex. Publishing is not a _________ activity, because it reflects the varied needs of scholars. This paper will be based on evidence from surveys and from published inquiries. ...",homogenous,0.104470678,selfless,selective
26,1171540,"Given the _________ attacks on Lou Dobbs by a minority of professional haters of America the question naturally arises why any American would hate him? The only conclusion I can come to, since Lou speaks for the views held by the great majority of Americans, is his haters have another agenda than the welfare of America. ...",vitriolic,0.141271994,senseless,targeted
27,140781,"A terrorist group calling itself the Crying Lions is about to take over the world with its mighty satellite, and Jean-Luc Cougar is the only one who can stop it. As Jean-Luc, a _________ operative working for the Strategic Covert Actions Team, you are responsible for taking back a Lions-controlled base and regaining power of the satellite. ...",covert,0.859608829,covert,undercover
28,2395797,"Sonny and Cher were a curious pairing. He was older than the _________ young singer, and more experienced in the ways of... Hollywood. As a result, their pairing seemed to have a certain lopsidedness, which they quickly discovered was a highly marketable commodity, especially in combination with their ability to sing. ...",nubile,0.12471658,naive,rising
29,3282623,"... Given at Maguelone in the year of the Incarnation of our Lord 1170 in the month of October. In force for seven years only. In the garb of a _________ and loaded with heavy iron fetters, Bernard undertook a number of pilgrimages, during which he endured and even courted hardships of all sorts. ...",penitent,0.031376518,toga,knight
30,3930490,"refers to the phenomenon _________ a person creates something new (a product, a solution, a work of art, a novel, a joke, etc.) that has some kind of value. What counts as ""new"" may be in reference to the individual creator, or to the society or domain within which the novelty occurs. ...",whereby,0.520852685,when,where
31,1048066,"at Buchanan Wednesday decided to play victim. Claiming to have been offended by fellow GOP presidential aspirant Sen. John McCain, R-Ariz., -- who took _________ with Buchanan's assertion that the U.S. made a mistake by fighting against Adolf Hitler's Germany in World War II -- Buchanan demanded an apology from the Vietnam War hero.",umbrage,0.19500199,offense,issue
32,826381,"... For some parents, a child leaving for college, moving away, or getting married, can cause Ã¢Â€ÂœEmpty Nest SyndromeÃ¢Â€Â, a feeling of sadness and emptiness, which can be disabling. Others may feel like celebrating. Many people _________ between these two states of mind. You can moderate difficulties with this life transition by preparing in advance to help weather it.",vacillate,0.688504577,oscillate,oscillate
33,497867,"The Healing Digest offers information, articles, and news articles related to holistic and alternative healing, free to the public. If you like what you see on the Healing Digest, we appreciate any donations you would like to make to help _________ the costs of hosting and other related expenses. The Healing Digest uses Paypal to process our donations",defray,0.440839589,offset,cover
34,2107577,"A word to the wise for al-Qaida, and those that wish to _________ our president-elect based on race -- get it right. But really, this is a new era. The response that al-Qaida deserves for its childish press release is ""sticks and stones."" Like the nursery rhyme says, ""sticks and stone may break our bones, but names will never hurt us."" ...",slander,0.332344472,disparage,admonish
35,80724,"When people _________ on the subject of corporate ethics (as they often do), they usually focus on the problem of exploitation. The most common complaints are that customers are being exploited as mere ""profit fodder"", and that employees are being stretched to the limit by the increasing pressure on them at work.",fulminate,0.153291166,debate,argue
36,1090176,"... With everything in the world that you and I might expect to bring happiness, the publisher is a lonely, unwanted, feared, tragicomic man. He dies, speaking one mysterious word, a female name. At the end of this wonderful picture you get to know what the name was. You also (later) really how silly women can be, especially _________ women.",obsequious,-0.026226938,young,beautiful
37,177402,"... Not since the mighty Achilles has the ancient spirit of the Fury Tisiphone taken up residence inside a human being. But not since Achilles has a warrior so skilled, so _________, and possessing so much battle sense sprung up among the mass of humankind. Hero of the Empire. Holder of the Banner of Terra.",implacable,0.099426031,fortuitous,powerful
38,602079,"So God, who commands us to search His scriptures, to read and study them thoroughly, says that if we turn at His _________, He will pour out His Spirit unto us and make known to us His words. Logically speaking, we should be able to interpret what we read by His Holy Spirit. ...",reproof,0.124547496,request,command
39,3779862,"Our _________ at Klingenmunster was a big brick building beside the main highway: all men of the section camped on the upper floors, and our places of business were downstairs. Cpl. Darnell discovered in the cellar several German field phones of a peculiar construction: one could only talk on them if he turned a hand-crank fiercely as he spoke. ...",bivouac,0.247156292,headquarters,residence
40,2464816,"... Oh, we'd get the _________, allright, who would toss in an apple or a pencil, but most of the time it was REAL food, including the oh so sumptuous homemade cookies with 5 times the sugar of the already oversugared store bought variety and enough transfats to stop the heart of a rhino.",skinflint,0.626131773,curmudgeon,cheapskate
41,1333905,"... It is ironic that, when Pip believed Mrs. Havisham to be his _________, he was willing to take all she was willing to give, even Estella; but when finding out that his cruel criminal from early years was his proprietor, he would not even take what his proprietor expected and hoped for him. ...",benefactor,0.549776077,benefactor,wife
42,1469802,"... Many homeowners, intrigued by things new and unusual, used specimens like _________ furniture, adding a new variety to their lawns each year. Unfortunately, they found that it was much easier to overplant a lawn than it was to overfurnish a room, since trees and shrubs eventually outgrew their assigned spaces.",verdant,0.136024326,outdoor,outdoor
43,3651821,nsel Adams was a _________ eco-warrior long before the term had even been coined: the American photographer was championing environmentalism as far back as the 1910s. One visit to Yosemite National Park as a teenager in 1916 put paid to his plans of becoming a concert pianist. Instead he concentrated his restive energy on photographing unspoilt pockets of natural beauty. ...,fervent,0.16835317,veritable,proud
44,545350,"Just amazing. He's an amazing guy. I wrote a tribute to him, a _________ poem, and as always, posted it to about 500 other pals. I tend to get both public and _________ facing dark things and a little _________ mass mailing never hurt anybody. It's a kind of commercial for his talents and shall we say, my own? ...",jocular,0.28878203,honorific,comical
45,3246313,"... The proposed invention may be used to upgrade the product in the field by breaking the quick connect connection, inserting a bag of desiccant, moving the _________ over the flex hose, inserting the insulation tube, making one o-ring connection, inserting the second desiccant bag, connecting the quick connect and making the second o-ring connection.",bellow,0.124905571,mouthpiece,cover
46,3520287,"Description: This is an _________ creature known as Eldonia eumorpha. The species is known from numerous specimens, and is one of the largest animals, sometimes in excess of 100 mm across. Specimens are preserved as a nearly flat impression. Distinct strands radiating from the center are interpreted as radial canals on both the ventral and dorsal surface.",enigmatic,0.321558237,elusive,prehistoric
47,2936077,"hi im new with dota,,can anyone help me or explain to me about this orb effect.. for example playing razor i have an item maelstorm, and when i put on _________ desolator,, wont the efect of _________ cancel the maelstorm? i mean its chain lighting, cause there this orb effect odes not stack,, im kinda confused here hehehhe,, please helpppppppp:-D",stygian,0.106255867,healing,magic
48,2484339,"... The tone of this move is superbly maintained and exactly right - it's an immaculate satire of genteel amorality and understated bloodshed, show with _________, glowing charm and texture by Douglas Slocombe (more recently he's been the cinematographer on the Indiana Jones movies), and leading inevitably to one of the cinema's great ironic climaxes. ...",lambent,0.11933516,exuberance,genuine
49,1839486,"... Rutgers would lose again the following season, 48-12 and once again in 1896, 40-0. The two schools would play only three more times -- from 1908 to 1910 -- before taking a 59-year _________. Interestingly enough, Rutgers never played a home game in the series until that 1969 game -- which they won, 20-6. ...",hiatus,0.503305554,sabbatical,absence
50,1095742,"... A simple look at the data shows that the much-feared specter of the baby boomers' retirement doesn't in fact _________ any kind of fiscal or economic crisis. Indeed, one can go further: the prospect of declining populations (due to individuals' choice, not mass murder or coerced abortions) is actually great news.",portend,0.391971231,precipitate,entail
51,3629734,"... Another, IndiGo, is contemplating making a maiden public issue, taking advantage of both its health and the _________ in the IPO market. In the circumstances, it is difficult to consider the restructuring needs to be generic, requiring the banking regulator to relax rules that have been put in the first place to ensure that banks classify assets correctly and transparently. ...",buoyancy,0.133418307,variability,crisis
52,161987,"... As I plied my Ink-Blotter to the Contracts, and before I had finished pouring a Replacement glass and begun wondering about the Provenance of the Noise, a Second and a Louder one caused not only the Glass, but the entire Bottle to fall. Moreover, a most _________ Smoke began pouring from our News-Room.",noisome,0.368513733,ominous,ominous
53,522718,"Our _________ hotel is just a short walk or tram ride away from all the excitement Blackpool has to offer with the world famous Blackpool Tower, the Golden Mile and its three piers. A tram or bus ride away is the Pleasure Beach, Zoo, and nearby towns Fleetwood, St. Annes on the Sea and Lytham.",promenade,0.05376735,exceptional,quaint
54,3425565,"... For the first time ever it is now possible to make a Cappuccino, Latte Macchiato and many other popular specialities at home at the touch of a button and without moving the cup. This advance opens up all kinds of new possibilities and turns you into a _________ barista in your own kitchen.",veritable,0.15283224,professional,experienced
55,1421223,"I pass along this florid tale because it demonstrates ""Basic Brown's"" basic insight into how San Francisco and other cities evolve. Things rarely happen by chance: Our landscape is shaped by competing visions of what a shared place should be. And more often than not, the winners are those who use the most _________ tactics.",brazen,0.089073956,competitive,corrupted
56,3357806,"Looking back with pride, the British are commemorating the 70th anniversary of the Battle of Britain, when Winston Churchill said of the pilots fighting the Luftwaffe: Never ""was so much owed by so many to so few."" Looking ahead with _________, Americas are thinking: Never have so many of us owed so much.",trepidation,0.380059004,pessimism,regret
57,2238089,"A National Retail Federation _________ found that 11 percent of retailers nationwide will loosen the holiday return policies, up from 3.4 percent in 2007. The number of retailers tightening policies, however, also is up, to 17.1 percent from 15.3 percent; 71.9 percent will employ the same regulations they used last Christmas.",survey,0.570622444,survey,recently
58,455992,"The relationship between Great Britain and France in the 18th-Century was one largely based on _________, which grew even as the century progressed. As we explore the perceptions of several British writers towards the French, it begins to seem as though this _________ may have been born from jealousy or intimidation.",animosity,0.718325675,animosity,admiration
59,3769310,"OS ANGELES Ã¢Â€Â” Last year Adam LambertÃ¢Â€Â™s kiss at the American Music Awards sent the Internet tongues wagging, but this year it was Usher and his protege, Justin Bieber, who gathered the most attention at the annual music _________, held at downtown Los AngelesÃ¢Â€Â™ Nokia Theatre and broadcast on ABC Ã¢Â€Â” albeit with less controversy.",fete,0.562461436,event,event
60,1526020,"campaign in August 1997, shortly after the American Bar Association passed a resolution calling for _________ on all U.S. executions. The campaign seeks to build momentum for a national _________ by mobilizing local groups to adopt their own resolutions and to recruit others in their area to join the call.",moratorium,0.704138637,moratorium,halts
61,3694171,"The lectureship is named in honor of Victor Tyler, B.S. '51 and M.E. '58, founder of Concord Computing Corporation and a leader in the development of electronic commerce technologies. His entrepreneurial _________ has provided financial institutions nationwide with ATM processing, debit card processing, access to a national debit network, and deposit risk management.",acumen,0.435256302,innovation,prowess
62,4048642,Celebrity Apprentice - a celebrity spin on the regular format - sees contestants taking part in various business-based tasks in a bid to avoid the weekly sacking handed down by _________ Donald Trump. This year's show also features The Real Housewives of New Jersey star Teresa Giudice and Twisted Sister singer DEE SNIDER.,magnate,0.162759811,boss,brutal
63,2165014,"... There have been many examples of extinctions occurring because a species was not able to _________ fast enough. For example, plants such as the magnolia and hemlock went extinct in Europe during the Pleistocene ice ages, but survived in North America due to the orientation of the mountains that blocked southern migration.",disperse,0.137252495,evolve,adapt
64,3402033,"It was just nine years ago when a young and _________ Brandon Flowers searched the valley high and low for musicians with whom to form a band. Earlier this year, he went looking for a whole new gang of musical cohorts, but not to replace the ones he found almost a decade ago.",precocious,0.278132081,eager,ambitious
65,3746009,"... We're athletic, we are not as deep as what we have been, especially inside, but we do have a team that I think can make plays you can't coach. I'm certainly looking forward to getting a chance to work with them. And hopefully by conference play, we can be a team that people have to _________ with.",contend,0.628613412,contend,reckon
66,1099357,"Then starts a muddy road followed by well-maintained tar road that takes you on the mid part of the hill. On the way, you need to park your vehicle near a _________ from where you can take a panoramic view of the same National Highway that takes you to Kolhapur. ...",precipice,0.502026379,lookout,cliff
67,2859508,"Leibniz explains that reason is governed by two main principles: the principle of contradiction, and the principle of _________ reason. According to the principle of contradiction, a proposition must be either true or false. If two propositions are contradictory to each other, then one of the propositions must be true, and the other must be false. ...",sufficient,0.114560112,deductive,absolute
68,2018174,"... You have plenty of time and the place will be stunning. Well, OK, not the bathroom. Perhaps that beach theme is looking more weary than _________ these days. And the living room walls are pretty dingy ---not to mention the kitchen. Seriously, is there any chance that no one will go in the kitchen? ...",whimsical,0.140073761,chic,not
69,2539555,"We must remember past examples of fertility regulation as we debate the impact of 'progressive' new technologies, such as cloning and genetic screening,"" she cautions. ""The repercussions of genetic manipulation of any kind, in the name of science, can be measured by America's fascination with and involvement in the _________ movement in its not-too-distant past.""",eugenics,1,eugenics,eugenics
70,4017810,"Addressing a press conference here, he said there was a great demand for Indian wheat and Basmati rice in Gulf countries especially in Iran, Iraq and Afghanistan and Punjab farmers could benefit a lot if they were allowed export of their agriculture produce to these countries through the land _________.",route,0.299649984,bridge,transport
71,3999533,"Flex couplers are used to isolate engine vibration to your exhaust components, and prevent cracks in your downpipes, cat-backs headers and turbo manifolds. We have We have introduced Stainless Steel Flex Couplers that have _________s with interlocking lining to help increased exhaust flow through the coupler, and prevent excessive back pressure to build up. ...",bellow,0.037688643,pipe,part
72,290683,"... Following the evening in the restaurant her career struggled to get off the ground. She was turned down for the choir at her convent school by nuns who feared her precocious vibrato made her sound ""like a goat"" though it seems they encouraged her love of belly dancing, deeming it cultural rather than _________.",profane,0.217963576,scandalous,sexual
73,1496889,"A lot of us _________ the fact Christmas isn't like it was back in the good old days, when kids were contented with a stocking filled with fruit, a candy cane and a Buffalo nickel, families truly celebrated togetherness and rampant commercialism and cult of Santa hadn't yet taken over.",bemoan,0.773418188,lament,mourn
74,1288136,"Inspired by European and Asian cultures, the new Mandara Spa Atlantis fuses ancient Balinese healing techniques and traditional therapies with natural elements indigenous to The Bahamas. Lushly landscaped water gardens filled with exotic fish and giant lilies line the walkway to the spa, setting a serene tone for the _________ experiences to come.",indulgent,0.278836221,relaxing,calming
75,3659214,It says prosecuting the couple will wrongly get the courts entangled in religious matters that are protected under the constitution. And it adds that there's no way for a jury to be _________ in making a decision of whether or not a defendant believed in the healing power of prayer.,impartial,0.626737475,unbiased,knowledgeable
76,2041179,"... My husband and I were there on convention, and many of the week's events took place in the hotel's palatial conference rooms. The continental breakfasts were more than adequately supplied with beautiful fresh fruit, pastries, coffee and juices. All the lunches and banquets were well-prepared, delicious, and expertly served by a most efficient _________ of staff.",coterie,0.367800564,coalition,group
77,1250826,"... Colour-coded lines represent various emotional relationships that bond individuals together. In Figure 2, the double dotted line between Lily and Natalie illustrates _________, the line with red stripes illustrates distrust between Paul and his son Andrew, and the broken line between Lily and Frank illustrates a cut-off relationship. Figure 4 illustrates the symbols commonly used for emotional relationships",discord,0.214932442,closeness,friendship
78,3564814,"In what is expected to be largely the same tried and tested formula of celebrity chat, monologue, odd headlines and musical interludes, Leno's opening week is packed with a stellar line-up including Winter Olympics champions Lindsey Vonn and Shaun White, _________ ""American Idol"" runner-up Adam Lambert, footballer Brett Favre and politician Sarah Palin.",flamboyant,0.177717909,former,former
79,1509517,"The use of DNA to _________ those wrongly convicted of crimes began in the 1990s. ""It turns out that when you ask why they were convicted in the first place, it was mistaken identity,"" Wells said. ""In police lineups, 20 to 25 percent of the time, witnesses pick a stand-in.""",exonerate,0.628958702,exonerate,free
80,577195,"... We do so in an atmosphere of freedom, characterized by open, candid and often _________ exchange of ideas. Faculty, staff and students are encouraged to express themselves on a wide variety of subjects, and as a result we have a yeasty mixture of debate and dissent that contributes to Cornell's character as a first-rate research university. ...",vehement,0.171693817,fluid,bold
81,1492857,So all we have is _________. That's lousy reporting and even worse editing. It is the editor who decided to go with the story and guide the reporter on what to say. It is the editor who decided to put the story on the front page and follow up with an editorial. ...,innuendo,0.173550382,propaganda,this
82,244773,"... A master stateroom worthy of the name and a second plush stateroom with generous amenities to pamper your guests. A magnificent salon, trimmed in rich teak or optional cherry, is provided with a complete entertainment center. Her main-deck galley, equipped with an ample array of appliances, rises to every _________ occasion.",convivial,0.034386981,different,possible
83,3494546,"OK, you know the drill by now: Collect 'em all! Today, it's Edwin Flores's turn.First, a disclaimer: I've always liked Flores, who's pictured at right; he's _________ and accessible. And you get the sense that he loves being a trustee and is able to shrug off the criticism that comes with the job. Th",affable,0.660437047,friendly,friendly
84,2223920,"... I will create in them a conscience that will resist you, that will flash within them a _________ reminder that they were never created to be your subjects. I will instill in them a deep inner sense that they were born children of the King, not slaves of the devil!",numinous,0.113515854,powerful,constant
85,3469720,"Russian Foreign Minister Sergey Lavrov said he will take a closer look at U.S. proposals meant to _________ Russian fears, but added that the best way to end the disagreement would be to scrap the plan for placing missile interceptors in Poland and a tracking radar in the Czech Republic.",allay,0.594813943,ameliorate,quell
86,288824,"Since the Respondent issued protective headgear to the men in the _________ gangs validated to it, these men have been required to have such headgear with them when reporting for work at the pier. In those instances where a man who had been previously issued a headgear had lost it, he is required to defray the cost of a re-issue.",stevedore,0.13642323,construction,certain
87,4001387,"... Then the participants began ridiculing and be-fooling the important people of the society. Finally, when the social injustices and other evils were highlighted and attacked mercilessly, the queen could not help but smile. The queen laughed and the king instituted a tradition of including jokes, satire, mockery and _________ into the Gaijatra celebration.",lampoon,0.385833263,parody,cruelty
88,2306804,"The Muslim nation is passing through dire times and is facing crises and enormous challenges that are perilous to its present and future. It is thus clear to all the need to come together, abandon disunity, and avoid inciting sectarian _________ and confessional discords. Those are centuries-old disputes to which there have been no acceptable solutions.",strife,0.437213391,rivalry,differences
89,3602787,", Julian Jarrold's attempt to imagine a historical love affair between a young Jane Austen and an _________ Irish lawyer in 1795, is likely to know in advance how it comes out. Though he's got a lot of nerve, Mr. Jarrold hasn't got quite enough to make one of the world's most famous spinsters into a happily married lady. ...",impecunious,0.373345762,ambitious,poor
90,3960984,"The seizure of Green Square held profound symbolic value and marked a stunning turn in the tide of the 6-month-old Libyan _________ war. The regime has held pro-Qadhafi rallies there nearly every night since the revolt began in February, and Qadhafi delivered speeches to his loyalists from the historic Red Fort that overlooks the square.",civil,0.57441628,revolutionary,civil
91,581382,We are a multi-tiered business consulting company specifically focused on the needs of small to medium sized retail businesses. Along the line we have added other services to help our clients make the most of their experience with us. These new segments include information technology support for both individuals and businesses as well as _________ support for individuals and businesses.,expatriate,0.102582522,nontechnical,international
92,781327,"There is no time like a presidential election year for truth to become buried under an avalanche of _________ propaganda. No sooner did Patrick J. Buchanan enter the presidential race when the Bush Administration, aided by its battalion of apologists in the media, attacked Buchanan as a ""protectionist"" violating the Bushian devotion to ""free trade.""",mendacious,0.43907249,misleading,ridiculous
93,1870913,"History isn't very profitable -- and in fact can be hazardous to your health, since the powers that be prefer folks not to poke around _________ artifacts left behind by past societies. Hence, there isn't much record of the past. But what is known is that it can be separated into three phases, commonly known as ""tries."" ...",arcane,0.306125581,ancient,ancient
94,2514005,"... Alban) ""redecorating"" has revealed herself, and for GL viewers, Springfield's newest face is a familiar one. The ghostly _________ known as Carrie is played by none other than Carrie Nye, best known for her role as GL's deranged derringer wielding Susan Piper, a role she created in 1984. What does Nye have in store for Springfield this time around? ...",interloper,-0.014849301,figure,character
95,3892773,"... To others, he was a liar, a cheat, a bigamist, a fascist quisling, a monstrous villain, a vile rogue, a snake-oil salesman, a Jerry Sneak, a chalatan, a _________, a saltimbanco, a medicaster. The beloved chairman of New Haven University's Literature Department was the inspiration for, and leader of, a generation of literary theorists.",mountebank,0.41672051,quack,thief
96,4046432,"is a reliable _________ cleaning service based in Nottinghamshire and Lincolnshire. We offer _________ cleaning and carpet cleaning for your home. We can provide a wide variety of one-off cleans such as end of tenancy cleans to landlords or tenants. If regular contract cleaning is not for you, then perhaps our",domestic,0.15415664,drapery,house
97,1623260,"... All possible explanations for this phenomenon involve serious criminal conduct. As the first responders and the primary state agency with jurisdiction for all of the state offenses, HCSO has an obligation to investigate this most distressing matter. Consequently, we continue to try to _________ the mystery of Sabrina's disappearance, but only in a lawful manner.",resolve,0.539866865,investigate,solve
98,1515675,"Welcome to the web site dedicated to sharing my pictures with family, friends and, since this is the internet, probably some complete strangers. As you will quickly _________ from the quantity of pictures on display, I love to take pictures. I hope you enjoying looking at the pictures half as much as I like taking them.",deduce,0.376294047,ascertain,learn
99,3381474,On a night where many of the performers had more spirit than vocal tone - and _________ hitmakers and TAMI Show MCs Jan and Dean show themselves to be particularly wobbly as live singers - acts like The Beach Boys and Smokey Robinson and the Miracles stand apart. They play radio versions of their songs in perfect one shot live takes.,vapid,0.14275603,electronic,tired
100,3281363,"... An active marine of the Maltese Navy who has participated in numerous patrols and search-and-rescue-missions. A southern Italian whose native language is an ancient Greek dialect, currently only spoken by a few hundred people; _________ heritage of the Magna Graecia that has been founded in southern Italy by the Greek colonists in 800 B.C.",veritable,0.092527501,cultural,sporting
101,2075741,"... ""We used to get customer releases of how many pieces per day they wanted and that would hold true for a month or so. Now we're seeing customers _________ from one day to the next. They're trying not to build up too much inventory and are delaying product launches. We're making adjustments, but we have to be nimble.""",fluctuate,0.683239043,fluctuate,change
102,2240303,"... You hear the demographic referred to as the ""high heeled vote."" CNN did a related segment on ""lipstick liberals."" And if you think that's _________, wait until you hear how everyone's trying to motivate us voting-age girls: ""Don't let this election be a nailbiter!"" is the slogan for the nonpartisan voter-registration group",patronizing,0.633722305,patronizing,ridiculous
103,1515673,"... From the facts that an animal has legs and that a human is (indirectly) an animal, it should _________ that a human has legs. From the fact that a human is an ape and apes do not have tails, it should _________ that humans do not have tails. Note that these deductions are based on the",deduce,0.132398352,follow,follow
104,1445089,", being taken by a group of warriors to an abandoned castle. They lock Ico in a _________ inside the castle, fearing that if they do not, the land will be cursed. After they leave, the room starts shaking. Ico rocks the _________ back and forth until it breaks open. Upon crashing into the ground, he is knocked unconscious.",sarcophagus,0.16343008,cage,cage
