,StoryIndex,Story,Target,InformativenessScore,AllTargets,Guess1,Guess2,Guess3
10,2,"Once upon a time there was an anteater named Tom who lived in a small town by the sea. Every night, Tom would take a walk down to the beach to watch the moonlit sky. One night, he heard a strange sound coming from the shore. As he got closer he realized that it was coming from a tuba! Tom looked around and saw a reddish colored figure playing the tuba in the moonlight.

Tom was fascinated, he had never seen anything like this before. As he got closer he realized the figure was an anteater just like him! He couldn't believe it, an anteater playing the tuba! He sat down and watched the performance until the sun began to rise.

Tom was filled with admiration and excitement as he watched the anteater perform. He was inspired to learn the tuba himself and began to practice every night under the moonlit sky. Eventually, Tom became quite good and his performances were even better than the one he had seen that night!

The other anteaters in town were amazed at Tom's talent, and he was soon the star of every show! Tom was so proud of himself, and happy that he had followed his dreams and found his own special talent.",anteater,0.134089191,"anteater, tuba, reddish, moonlit, performing",gopher,man,cat
11,2,"Once upon a time there was an anteater named Tom who lived in a small town by the sea. Every night, Tom would take a walk down to the beach to watch the moonlit sky. One night, he heard a strange sound coming from the shore. As he got closer he realized that it was coming from a tuba! Tom looked around and saw a reddish colored figure playing the tuba in the moonlight.

Tom was fascinated, he had never seen anything like this before. As he got closer he realized the figure was an anteater just like him! He couldn't believe it, an anteater playing the tuba! He sat down and watched the performance until the sun began to rise.

Tom was filled with admiration and excitement as he watched the anteater perform. He was inspired to learn the tuba himself and began to practice every night under the moonlit sky. Eventually, Tom became quite good and his performances were even better than the one he had seen that night!

The other anteaters in town were amazed at Tom's talent, and he was soon the star of every show! Tom was so proud of himself, and happy that he had followed his dreams and found his own special talent.",moonlit,0.536237458,"anteater, tuba, reddish, moonlit, performing",starry,dark,starry
12,2,"Once upon a time there was an anteater named Tom who lived in a small town by the sea. Every night, Tom would take a walk down to the beach to watch the moonlit sky. One night, he heard a strange sound coming from the shore. As he got closer he realized that it was coming from a tuba! Tom looked around and saw a reddish colored figure playing the tuba in the moonlight.

Tom was fascinated, he had never seen anything like this before. As he got closer he realized the figure was an anteater just like him! He couldn't believe it, an anteater playing the tuba! He sat down and watched the performance until the sun began to rise.

Tom was filled with admiration and excitement as he watched the anteater perform. He was inspired to learn the tuba himself and began to practice every night under the moonlit sky. Eventually, Tom became quite good and his performances were even better than the one he had seen that night!

The other anteaters in town were amazed at Tom's talent, and he was soon the star of every show! Tom was so proud of himself, and happy that he had followed his dreams and found his own special talent.",performing,0.57045275,"anteater, tuba, reddish, moonlit, performing",performing,play,playing
13,2,"Once upon a time there was an anteater named Tom who lived in a small town by the sea. Every night, Tom would take a walk down to the beach to watch the moonlit sky. One night, he heard a strange sound coming from the shore. As he got closer he realized that it was coming from a tuba! Tom looked around and saw a reddish colored figure playing the tuba in the moonlight.

Tom was fascinated, he had never seen anything like this before. As he got closer he realized the figure was an anteater just like him! He couldn't believe it, an anteater playing the tuba! He sat down and watched the performance until the sun began to rise.

Tom was filled with admiration and excitement as he watched the anteater perform. He was inspired to learn the tuba himself and began to practice every night under the moonlit sky. Eventually, Tom became quite good and his performances were even better than the one he had seen that night!

The other anteaters in town were amazed at Tom's talent, and he was soon the star of every show! Tom was so proud of himself, and happy that he had followed his dreams and found his own special talent.",reddish,0.543544888,"anteater, tuba, reddish, moonlit, performing",blueish,blue,dark
14,2,"Once upon a time there was an anteater named Tom who lived in a small town by the sea. Every night, Tom would take a walk down to the beach to watch the moonlit sky. One night, he heard a strange sound coming from the shore. As he got closer he realized that it was coming from a tuba! Tom looked around and saw a reddish colored figure playing the tuba in the moonlight.

Tom was fascinated, he had never seen anything like this before. As he got closer he realized the figure was an anteater just like him! He couldn't believe it, an anteater playing the tuba! He sat down and watched the performance until the sun began to rise.

Tom was filled with admiration and excitement as he watched the anteater perform. He was inspired to learn the tuba himself and began to practice every night under the moonlit sky. Eventually, Tom became quite good and his performances were even better than the one he had seen that night!

The other anteaters in town were amazed at Tom's talent, and he was soon the star of every show! Tom was so proud of himself, and happy that he had followed his dreams and found his own special talent.",tuba,0.786588132,"anteater, tuba, reddish, moonlit, performing",tuba,saxophone,guitar
15,3,"Once upon a time, there was a bald man named Bob. He had a bright, sunlit studio where he loved to paint. Every day, Bob would get up early and put on his favorite bandanna before heading to his easel. He loved illustrating the world around him, from the bright flowers in his garden to the birds in the sky. Bob was an artist, and his studio was his happy place. He spent hours each day bringing his imagination to life with his paintbrush. He loved the way the colors blended and mixed together to make something new. Bob was proud of his artwork, and he was glad to share it with the world.",bald,0.091792958,"bandanna, easel, bald, sunlit, illustrating",old,creative,old
16,3,"Once upon a time, there was a bald man named Bob. He had a bright, sunlit studio where he loved to paint. Every day, Bob would get up early and put on his favorite bandanna before heading to his easel. He loved illustrating the world around him, from the bright flowers in his garden to the birds in the sky. Bob was an artist, and his studio was his happy place. He spent hours each day bringing his imagination to life with his paintbrush. He loved the way the colors blended and mixed together to make something new. Bob was proud of his artwork, and he was glad to share it with the world.",bandanna,0.496771495,"bandanna, easel, bald, sunlit, illustrating",hat,jacket,sweater
17,3,"Once upon a time, there was a bald man named Bob. He had a bright, sunlit studio where he loved to paint. Every day, Bob would get up early and put on his favorite bandanna before heading to his easel. He loved illustrating the world around him, from the bright flowers in his garden to the birds in the sky. Bob was an artist, and his studio was his happy place. He spent hours each day bringing his imagination to life with his paintbrush. He loved the way the colors blended and mixed together to make something new. Bob was proud of his artwork, and he was glad to share it with the world.",easel,0.094978821,"bandanna, easel, bald, sunlit, illustrating",building,workshop,house
18,3,"Once upon a time, there was a bald man named Bob. He had a bright, sunlit studio where he loved to paint. Every day, Bob would get up early and put on his favorite bandanna before heading to his easel. He loved illustrating the world around him, from the bright flowers in his garden to the birds in the sky. Bob was an artist, and his studio was his happy place. He spent hours each day bringing his imagination to life with his paintbrush. He loved the way the colors blended and mixed together to make something new. Bob was proud of his artwork, and he was glad to share it with the world.",illustrating,0.228258073,"bandanna, easel, bald, sunlit, illustrating",painting,painting,painting
19,3,"Once upon a time, there was a bald man named Bob. He had a bright, sunlit studio where he loved to paint. Every day, Bob would get up early and put on his favorite bandanna before heading to his easel. He loved illustrating the world around him, from the bright flowers in his garden to the birds in the sky. Bob was an artist, and his studio was his happy place. He spent hours each day bringing his imagination to life with his paintbrush. He loved the way the colors blended and mixed together to make something new. Bob was proud of his artwork, and he was glad to share it with the world.",sunlit,0.025150992,"bandanna, easel, bald, sunlit, illustrating",art,art,art
20,4,"Once upon a time, there was a bald man named Bob. He was an artist and enjoyed spending time in his sunlit studio. He had an easel in one corner, and a bandanna draped over the back of his chair. 

Bob loved illustrating the world around him. He would spend the day sketching and painting, and then admire his work once it was finished. He painted his family, friends, and animals. He would even paint the sunlit sky outside his window.

Bob's illustrations were so beautiful that they became popular. People all over the world wanted to hang Bob's artwork in their homes. Soon, Bob had enough money to buy a house with a bigger studio and even better supplies.

Bob continued to paint and draw in his sunlit studio. He would tie his bandanna around his head and sit in his chair, easel in front of him. He would take a deep breath and begin to create something magical. 

Bob was an amazing artist. He was known for his beautiful sunlit illustrations and his bald head. Everyone who saw his artwork was in awe, and Bob was very proud of his work. 

The end.",bald,0.369583018,"bandanna, easel, bald, sunlit, illustrating",bald,creative,old
21,4,"Once upon a time, there was a bald man named Bob. He was an artist and enjoyed spending time in his sunlit studio. He had an easel in one corner, and a bandanna draped over the back of his chair. 

Bob loved illustrating the world around him. He would spend the day sketching and painting, and then admire his work once it was finished. He painted his family, friends, and animals. He would even paint the sunlit sky outside his window.

Bob's illustrations were so beautiful that they became popular. People all over the world wanted to hang Bob's artwork in their homes. Soon, Bob had enough money to buy a house with a bigger studio and even better supplies.

Bob continued to paint and draw in his sunlit studio. He would tie his bandanna around his head and sit in his chair, easel in front of him. He would take a deep breath and begin to create something magical. 

Bob was an amazing artist. He was known for his beautiful sunlit illustrations and his bald head. Everyone who saw his artwork was in awe, and Bob was very proud of his work. 

The end.",bandanna,0.590017319,"bandanna, easel, bald, sunlit, illustrating",scarf,fabric,scarf
22,4,"Once upon a time, there was a bald man named Bob. He was an artist and enjoyed spending time in his sunlit studio. He had an easel in one corner, and a bandanna draped over the back of his chair. 

Bob loved illustrating the world around him. He would spend the day sketching and painting, and then admire his work once it was finished. He painted his family, friends, and animals. He would even paint the sunlit sky outside his window.

Bob's illustrations were so beautiful that they became popular. People all over the world wanted to hang Bob's artwork in their homes. Soon, Bob had enough money to buy a house with a bigger studio and even better supplies.

Bob continued to paint and draw in his sunlit studio. He would tie his bandanna around his head and sit in his chair, easel in front of him. He would take a deep breath and begin to create something magical. 

Bob was an amazing artist. He was known for his beautiful sunlit illustrations and his bald head. Everyone who saw his artwork was in awe, and Bob was very proud of his work. 

The end.",easel,0.636239012,"bandanna, easel, bald, sunlit, illustrating",easel,canvas,canvas
23,4,"Once upon a time, there was a bald man named Bob. He was an artist and enjoyed spending time in his sunlit studio. He had an easel in one corner, and a bandanna draped over the back of his chair. 

Bob loved illustrating the world around him. He would spend the day sketching and painting, and then admire his work once it was finished. He painted his family, friends, and animals. He would even paint the sunlit sky outside his window.

Bob's illustrations were so beautiful that they became popular. People all over the world wanted to hang Bob's artwork in their homes. Soon, Bob had enough money to buy a house with a bigger studio and even better supplies.

Bob continued to paint and draw in his sunlit studio. He would tie his bandanna around his head and sit in his chair, easel in front of him. He would take a deep breath and begin to create something magical. 

Bob was an amazing artist. He was known for his beautiful sunlit illustrations and his bald head. Everyone who saw his artwork was in awe, and Bob was very proud of his work. 

The end.",illustrating,0.166163477,"bandanna, easel, bald, sunlit, illustrating",observing,painting ,beautiful
24,4,"Once upon a time, there was a bald man named Bob. He was an artist and enjoyed spending time in his sunlit studio. He had an easel in one corner, and a bandanna draped over the back of his chair. 

Bob loved illustrating the world around him. He would spend the day sketching and painting, and then admire his work once it was finished. He painted his family, friends, and animals. He would even paint the sunlit sky outside his window.

Bob's illustrations were so beautiful that they became popular. People all over the world wanted to hang Bob's artwork in their homes. Soon, Bob had enough money to buy a house with a bigger studio and even better supplies.

Bob continued to paint and draw in his sunlit studio. He would tie his bandanna around his head and sit in his chair, easel in front of him. He would take a deep breath and begin to create something magical. 

Bob was an amazing artist. He was known for his beautiful sunlit illustrations and his bald head. Everyone who saw his artwork was in awe, and Bob was very proud of his work. 

The end.",sunlit,0.24349197,"bandanna, easel, bald, sunlit, illustrating",beautiful,dark,art
25,5,"Once upon a time, there was a bald man named Bob who lived in a sunlit town. He was an artist and loved spending his days outdoors, illustrating the beauty of nature. He often wore a bright blue bandanna while he painted, so everyone in town knew him by his signature look.

One day, Bob decided to take his easel out to the park and paint a picture of the beautiful sunny day. He set up his easel in the sun and started painting. He was so focused on his work that he didn't notice the people who had gathered around him, admiring his art.

When Bob was finished, he stepped back to take in the crowd's reaction. They all clapped and cheered for him. Bob was so proud of his work that he decided to show it off to the whole town.

He set up his easel in the town square and displayed his painting for everyone to admire. Everyone who saw it was amazed at Bob's talent, and they all agreed that it was the most beautiful painting in town.

Bob smiled at everyone's reaction and was happy to know that his art was appreciated. From that day forward, Bob was known for his art and his bright blue bandanna.",bald,0.166629821,"bandanna, easel, bald, sunlit, illustrating",old,old,old
26,5,"Once upon a time, there was a bald man named Bob who lived in a sunlit town. He was an artist and loved spending his days outdoors, illustrating the beauty of nature. He often wore a bright blue bandanna while he painted, so everyone in town knew him by his signature look.

One day, Bob decided to take his easel out to the park and paint a picture of the beautiful sunny day. He set up his easel in the sun and started painting. He was so focused on his work that he didn't notice the people who had gathered around him, admiring his art.

When Bob was finished, he stepped back to take in the crowd's reaction. They all clapped and cheered for him. Bob was so proud of his work that he decided to show it off to the whole town.

He set up his easel in the town square and displayed his painting for everyone to admire. Everyone who saw it was amazed at Bob's talent, and they all agreed that it was the most beautiful painting in town.

Bob smiled at everyone's reaction and was happy to know that his art was appreciated. From that day forward, Bob was known for his art and his bright blue bandanna.",bandanna,0.623783072,"bandanna, easel, bald, sunlit, illustrating",bandana,apron,apron
27,5,"Once upon a time, there was a bald man named Bob who lived in a sunlit town. He was an artist and loved spending his days outdoors, illustrating the beauty of nature. He often wore a bright blue bandanna while he painted, so everyone in town knew him by his signature look.

One day, Bob decided to take his easel out to the park and paint a picture of the beautiful sunny day. He set up his easel in the sun and started painting. He was so focused on his work that he didn't notice the people who had gathered around him, admiring his art.

When Bob was finished, he stepped back to take in the crowd's reaction. They all clapped and cheered for him. Bob was so proud of his work that he decided to show it off to the whole town.

He set up his easel in the town square and displayed his painting for everyone to admire. Everyone who saw it was amazed at Bob's talent, and they all agreed that it was the most beautiful painting in town.

Bob smiled at everyone's reaction and was happy to know that his art was appreciated. From that day forward, Bob was known for his art and his bright blue bandanna.",easel,1,"bandanna, easel, bald, sunlit, illustrating",easel,easel,easel
28,5,"Once upon a time, there was a bald man named Bob who lived in a sunlit town. He was an artist and loved spending his days outdoors, illustrating the beauty of nature. He often wore a bright blue bandanna while he painted, so everyone in town knew him by his signature look.

One day, Bob decided to take his easel out to the park and paint a picture of the beautiful sunny day. He set up his easel in the sun and started painting. He was so focused on his work that he didn't notice the people who had gathered around him, admiring his art.

When Bob was finished, he stepped back to take in the crowd's reaction. They all clapped and cheered for him. Bob was so proud of his work that he decided to show it off to the whole town.

He set up his easel in the town square and displayed his painting for everyone to admire. Everyone who saw it was amazed at Bob's talent, and they all agreed that it was the most beautiful painting in town.

Bob smiled at everyone's reaction and was happy to know that his art was appreciated. From that day forward, Bob was known for his art and his bright blue bandanna.",illustrating,0.467015386,"bandanna, easel, bald, sunlit, illustrating",illustrating,admiring,painting
29,5,"Once upon a time, there was a bald man named Bob who lived in a sunlit town. He was an artist and loved spending his days outdoors, illustrating the beauty of nature. He often wore a bright blue bandanna while he painted, so everyone in town knew him by his signature look.

One day, Bob decided to take his easel out to the park and paint a picture of the beautiful sunny day. He set up his easel in the sun and started painting. He was so focused on his work that he didn't notice the people who had gathered around him, admiring his art.

When Bob was finished, he stepped back to take in the crowd's reaction. They all clapped and cheered for him. Bob was so proud of his work that he decided to show it off to the whole town.

He set up his easel in the town square and displayed his painting for everyone to admire. Everyone who saw it was amazed at Bob's talent, and they all agreed that it was the most beautiful painting in town.

Bob smiled at everyone's reaction and was happy to know that his art was appreciated. From that day forward, Bob was known for his art and his bright blue bandanna.",sunlit,0.058803823,"bandanna, easel, bald, sunlit, illustrating",small,small,small
30,6,"Once upon a time, there lived a little chimpanzee named Joe. He was always so curious and loved exploring his home in the jungle. One day, Joe decided to go on a little adventure to find something new.

He wandered for hours, until he finally came across a beautiful tree with lots of bright, wrinkly almonds growing on it. Joe was so excited! He had never seen anything like this before.

He quickly started to gather as many almonds as he could, but stopped when he heard a sound. It was a sound of laughter, and it was coming from the tree! Joe looked closely and saw a small creature with bright, floral wings.

It was a fairy! It was mimicking Joe's movements and making funny faces. Joe and the fairy had so much fun together, that they decided to become friends.

From that day on, Joe and the fairy were inseparable. Whenever Joe went exploring, he always brought home a few almonds for his new friend. And Joe always had a great time playing with the fairy, mimicking her movements and laughing together.",almond,0.317868039,"chimpanzee, almond, wrinkly, floral, mimicking",apple,bananas,flower
31,6,"Once upon a time, there lived a little chimpanzee named Joe. He was always so curious and loved exploring his home in the jungle. One day, Joe decided to go on a little adventure to find something new.

He wandered for hours, until he finally came across a beautiful tree with lots of bright, wrinkly almonds growing on it. Joe was so excited! He had never seen anything like this before.

He quickly started to gather as many almonds as he could, but stopped when he heard a sound. It was a sound of laughter, and it was coming from the tree! Joe looked closely and saw a small creature with bright, floral wings.

It was a fairy! It was mimicking Joe's movements and making funny faces. Joe and the fairy had so much fun together, that they decided to become friends.

From that day on, Joe and the fairy were inseparable. Whenever Joe went exploring, he always brought home a few almonds for his new friend. And Joe always had a great time playing with the fairy, mimicking her movements and laughing together.",chimpanzee,0.565845097,"chimpanzee, almond, wrinkly, floral, mimicking",elf,chimp,monkey
32,6,"Once upon a time, there lived a little chimpanzee named Joe. He was always so curious and loved exploring his home in the jungle. One day, Joe decided to go on a little adventure to find something new.

He wandered for hours, until he finally came across a beautiful tree with lots of bright, wrinkly almonds growing on it. Joe was so excited! He had never seen anything like this before.

He quickly started to gather as many almonds as he could, but stopped when he heard a sound. It was a sound of laughter, and it was coming from the tree! Joe looked closely and saw a small creature with bright, floral wings.

It was a fairy! It was mimicking Joe's movements and making funny faces. Joe and the fairy had so much fun together, that they decided to become friends.

From that day on, Joe and the fairy were inseparable. Whenever Joe went exploring, he always brought home a few almonds for his new friend. And Joe always had a great time playing with the fairy, mimicking her movements and laughing together.",floral,0.070898612,"chimpanzee, almond, wrinkly, floral, mimicking",shimmering,glowing,shiny
33,6,"Once upon a time, there lived a little chimpanzee named Joe. He was always so curious and loved exploring his home in the jungle. One day, Joe decided to go on a little adventure to find something new.

He wandered for hours, until he finally came across a beautiful tree with lots of bright, wrinkly almonds growing on it. Joe was so excited! He had never seen anything like this before.

He quickly started to gather as many almonds as he could, but stopped when he heard a sound. It was a sound of laughter, and it was coming from the tree! Joe looked closely and saw a small creature with bright, floral wings.

It was a fairy! It was mimicking Joe's movements and making funny faces. Joe and the fairy had so much fun together, that they decided to become friends.

From that day on, Joe and the fairy were inseparable. Whenever Joe went exploring, he always brought home a few almonds for his new friend. And Joe always had a great time playing with the fairy, mimicking her movements and laughing together.",mimicking,0.592231313,"chimpanzee, almond, wrinkly, floral, mimicking",mimicking,copying,copying
34,6,"Once upon a time, there lived a little chimpanzee named Joe. He was always so curious and loved exploring his home in the jungle. One day, Joe decided to go on a little adventure to find something new.

He wandered for hours, until he finally came across a beautiful tree with lots of bright, wrinkly almonds growing on it. Joe was so excited! He had never seen anything like this before.

He quickly started to gather as many almonds as he could, but stopped when he heard a sound. It was a sound of laughter, and it was coming from the tree! Joe looked closely and saw a small creature with bright, floral wings.

It was a fairy! It was mimicking Joe's movements and making funny faces. Joe and the fairy had so much fun together, that they decided to become friends.

From that day on, Joe and the fairy were inseparable. Whenever Joe went exploring, he always brought home a few almonds for his new friend. And Joe always had a great time playing with the fairy, mimicking her movements and laughing together.",wrinkly,0.106237267,"chimpanzee, almond, wrinkly, floral, mimicking",red,yellow,colorful
35,7,"Once upon a time, there was a young chimpanzee named Albert. Albert was a bit of a mischievous monkey, and he loved to explore his jungle home. One day, he was out in the jungle, searching for something fun to do when he came across a strange tree. The tree was tall and strong, and it was covered in fragrant, white floral blossoms. 

Albert was curious, so he climbed up the tree to take a closer look. Once he reached the top, he noticed that the tree was full of ripe, wrinkly almonds. He began to pick the almonds from the tree, and he couldn't help but eat some of them. They were delicious! 

Still in the tree, Albert began to mimic the chirping of the nearby birds. He was so proud of his singing that he wanted to share it with his friends. He jumped down from the tree, almond in hand, and raced off to find them. 

And so, Albert shared the delicious almonds and his singing with all his friends in the jungle. They all had a wonderful time and enjoyed the sweet snack and the funny songs. It was a day they would never forget!",almond,0.378157496,"chimpanzee, almond, wrinkly, floral, mimicking",apple,mangos,apple
36,7,"Once upon a time, there was a young chimpanzee named Albert. Albert was a bit of a mischievous monkey, and he loved to explore his jungle home. One day, he was out in the jungle, searching for something fun to do when he came across a strange tree. The tree was tall and strong, and it was covered in fragrant, white floral blossoms. 

Albert was curious, so he climbed up the tree to take a closer look. Once he reached the top, he noticed that the tree was full of ripe, wrinkly almonds. He began to pick the almonds from the tree, and he couldn't help but eat some of them. They were delicious! 

Still in the tree, Albert began to mimic the chirping of the nearby birds. He was so proud of his singing that he wanted to share it with his friends. He jumped down from the tree, almond in hand, and raced off to find them. 

And so, Albert shared the delicious almonds and his singing with all his friends in the jungle. They all had a wonderful time and enjoyed the sweet snack and the funny songs. It was a day they would never forget!",chimpanzee,0.717728396,"chimpanzee, almond, wrinkly, floral, mimicking",ape,monkey,ape
37,7,"Once upon a time, there was a young chimpanzee named Albert. Albert was a bit of a mischievous monkey, and he loved to explore his jungle home. One day, he was out in the jungle, searching for something fun to do when he came across a strange tree. The tree was tall and strong, and it was covered in fragrant, white floral blossoms. 

Albert was curious, so he climbed up the tree to take a closer look. Once he reached the top, he noticed that the tree was full of ripe, wrinkly almonds. He began to pick the almonds from the tree, and he couldn't help but eat some of them. They were delicious! 

Still in the tree, Albert began to mimic the chirping of the nearby birds. He was so proud of his singing that he wanted to share it with his friends. He jumped down from the tree, almond in hand, and raced off to find them. 

And so, Albert shared the delicious almonds and his singing with all his friends in the jungle. They all had a wonderful time and enjoyed the sweet snack and the funny songs. It was a day they would never forget!",floral,0.478336225,"chimpanzee, almond, wrinkly, floral, mimicking",floral,cherry,cherry
38,7,"Once upon a time, there was a young chimpanzee named Albert. Albert was a bit of a mischievous monkey, and he loved to explore his jungle home. One day, he was out in the jungle, searching for something fun to do when he came across a strange tree. The tree was tall and strong, and it was covered in fragrant, white floral blossoms. 

Albert was curious, so he climbed up the tree to take a closer look. Once he reached the top, he noticed that the tree was full of ripe, wrinkly almonds. He began to pick the almonds from the tree, and he couldn't help but eat some of them. They were delicious! 

Still in the tree, Albert began to mimic the chirping of the nearby birds. He was so proud of his singing that he wanted to share it with his friends. He jumped down from the tree, almond in hand, and raced off to find them. 

And so, Albert shared the delicious almonds and his singing with all his friends in the jungle. They all had a wonderful time and enjoyed the sweet snack and the funny songs. It was a day they would never forget!",mimicking,0.515085648,"chimpanzee, almond, wrinkly, floral, mimicking",mimicking,hear,copying
